// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\Pato\Documents\projects\csharp\BenchmarkExperiment\BenchmarkExperiment\bin\Release\net5.0\a7971161-1ccc-414a-ad13-e70848c29cf8
// command took 3,34s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\Pato\Documents\projects\csharp\BenchmarkExperiment\BenchmarkExperiment\bin\Release\net5.0\a7971161-1ccc-414a-ad13-e70848c29cf8
// command took 4,68s and exited with 0
// ***** Done, took 00:00:08 (8.11 sec)   *****
// Found 3 benchmarks:
//   DateParserBenchmarks.GetYearFromDateTime: DefaultJob
//   DateParserBenchmarks.GetYearFromSpan: DefaultJob
//   DateParserBenchmarks.GetYearFromSpanExplictIntConversion: DefaultJob

// **************************
// Benchmark: DateParserBenchmarks.GetYearFromDateTime: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "a7971161-1ccc-414a-ad13-e70848c29cf8.dll" --benchmarkName "BenchmarkExperiment.DateParserBenchmarks.GetYearFromDateTime" --job "Default" --benchmarkId 0 in C:\Users\Pato\Documents\projects\csharp\BenchmarkExperiment\BenchmarkExperiment\bin\Release\net5.0\a7971161-1ccc-414a-ad13-e70848c29cf8\bin\Release\netcoreapp5.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 5.0.2 (CoreCLR 5.0.220.61120, CoreFX 5.0.220.61120), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

ConfidenceInterval = [29.566 ns; 30.717 ns] (CI 99.9%), Margin = 0.576 ns (1.91% of Mean)
Skewness = 0.18, Kurtosis = 1.69, MValue = 2
-------------------- Histogram --------------------
[29.281 ns ; 30.064 ns) | @@@@@@
[30.064 ns ; 31.222 ns) | @@@@@@@@@
---------------------------------------------------

DateParserBenchmarks.GetYearFromDateTime: DefaultJob
Runtime = .NET Core 5.0.2 (CoreCLR 5.0.220.61120, CoreFX 5.0.220.61120), X64 RyuJIT; GC = Concurrent Workstation
Mean = 646.385 ns, StdErr = 0.971 ns (0.15%), N = 15, StdDev = 3.761 ns
Min = 641.094 ns, Q1 = 643.685 ns, Median = 645.546 ns, Q3 = 649.584 ns, Max = 651.714 ns
IQR = 5.899 ns, LowerFence = 634.837 ns, UpperFence = 658.433 ns
ConfidenceInterval = [642.364 ns; 650.405 ns] (CI 99.9%), Margin = 4.020 ns (0.62% of Mean)
Skewness = -0.01, Kurtosis = 1.43, MValue = 2
-------------------- Histogram --------------------
[639.093 ns ; 653.715 ns) | @@@@@@@@@@@@@@@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.12.1, OS=Windows 10.0.18363.1440 (1909/November2018Update/19H2)
Intel Core i5-6600K CPU 3.50GHz (Skylake), 1 CPU, 4 logical and 4 physical cores
.NET Core SDK=5.0.102
  [Host]     : .NET Core 5.0.2 (CoreCLR 5.0.220.61120, CoreFX 5.0.220.61120), X64 RyuJIT
  DefaultJob : .NET Core 5.0.2 (CoreCLR 5.0.220.61120, CoreFX 5.0.220.61120), X64 RyuJIT


|                              Method |      Mean |    Error |   StdDev | Ratio | Rank | Gen 0 | Gen 1 | Gen 2 | Allocated |
|------------------------------------ |----------:|---------:|---------:|------:|-----:|------:|------:|------:|----------:|
| GetYearFromSpanExplictIntConversion |  11.96 ns | 0.155 ns | 0.145 ns |  0.02 |    1 |     - |     - |     - |         - |
|                     GetYearFromSpan |  30.14 ns | 0.576 ns | 0.539 ns |  0.05 |    2 |     - |     - |     - |         - |
|                 GetYearFromDateTime | 646.38 ns | 4.020 ns | 3.761 ns |  1.00 |    3 |     - |     - |     - |         - |

// * Legends *
  Mean      : Arithmetic mean of all measurements
  Error     : Half of 99.9% confidence interval
  StdDev    : Standard deviation of all measurements
  Ratio     : Mean of the ratio distribution ([Current]/[Baseline])
  Rank      : Relative position of current benchmark mean among all benchmarks (Arabic style)
  Gen 0     : GC Generation 0 collects per 1000 operations
  Gen 1     : GC Generation 1 collects per 1000 operations
  Gen 2     : GC Generation 2 collects per 1000 operations
  Allocated : Allocated memory per single operation (managed only, inclusive, 1KB = 1024B)
  1 ns      : 1 Nanosecond (0.000000001 sec)

// * Diagnostic Output - MemoryDiagnoser *


// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:01:02 (62.17 sec), executed benchmarks: 3

Global total time: 00:01:10 (70.3 sec), executed benchmarks: 3
// * Artifacts cleanup *
